Unique,total_wine,average_points,average_price,max_point,min_point,max_price,min_price
Italy,21200,88.68,35.42,100,80,900,5
Portugal,6160,88.34,23.99,100,80,1800,5
US,58821,88.66,37.24,100,80,2013,4
Spain,7185,87.24,27.73,98,80,770,4
France,25169,89.04,34.12,100,80,5000,5
Germany,2468,90.06,41.32,98,81,775,5
Argentina,3997,86.71,24.64,97,80,350,4
Chile,4683,86.48,20.84,95,80,400,5
Australia,2579,88.66,36.97,100,80,897,5
Austria,3604,90.36,26.61,100,82,1100,7
South Africa,1489,88.28,23.17,96,82,330,5
New Zealand,1556,88.26,25.44,95,80,130,7
Israel,577,88.56,30.13,94,80,150,8
Hungary,148,89.31,39.84,97,81,764,10
Greece,470,87.33,21.97,93,82,79,8
Romania,105,86.31,15.35,92,82,320,4
Mexico,70,85.20,26.64,92,80,108,8
Canada,262,89.43,37.09,96,82,125,12
Turkey,90,88.23,25.18,92,84,120,14
Czech Republic,14,87.00,22.07,89,84,45,15
Slovenia,81,88.11,23.36,92,82,90,7
Luxembourg,10,88.90,24.10,90,88,30,16
Croatia,83,87.34,26.72,92,81,70,12
Georgia,84,87.70,19.50,92,82,45,9
Uruguay,112,86.74,26.75,93,80,130,10
England,85,91.99,50.74,96,89,145,25
Lebanon,32,87.59,30.28,91,82,75,13
Serbia,8,87.63,24.88,89,86,42,15
Brazil,50,84.70,21.56,89,80,60,10
Moldova,86,87.41,15.80,91,82,42,8
Morocco,24,88.71,18.96,93,85,40,14
Peru,16,83.56,18.06,86,80,68,10
India,8,90.25,13.75,93,87,20,10
Bulgaria,157,87.89,14.77,91,80,100,8
Cyprus,10,87.10,16.50,89,85,21,11
Armenia,4,89.75,26.50,92,87,45,14
Switzerland,17,88.94,48.88,90,83,160,21
Bosnia and Herzegovina,2,86.50,12.50,88,85,13,12
Ukraine,14,84.07,9.21,88,82,13,6
Slovakia,1,87.00,16.00,87,87,16,16
Macedonia,11,86.82,15.64,89,84,20,15
China,5,88.00,82.20,90,85,139,18
Egypt,1,84.00,0.00,84,84,0,0
Kosovo,8,86.00,6.75,87,85,15,6
