name,winery_count,iso
USA,5815,USA
France,4422,FRA
Italy,3178,ITA
Spain,1538,ESP
Argentina,565,ARG
Australia,496,AUS
Portugal,453,PRT
Chile,339,CHL
New Zealand,334,NZL
South Africa,320,ZAF
Germany,277,DEU
Austria,242,AUT
Greece,102,GRC
Israel,52,ISR
Hungary,49,HUN
Canada,46,CAN
Croatia,34,HRV
Bulgaria,28,BGR
Georgia,26,GEO
Mexico,26,MEX
Slovenia,25,SVN
Uruguay,20,URY
England,19,GBR
Romania,19,ROU
Turkey,17,TUR
Moldova,15,MDA
Brazil,11,BRA
Switzerland,9,CHE
Cyprus,7,CYP
Lebanon,6,LBN
Czech Republic,4,CZE
Ukraine,4,UKR
China,3,CHN
Macedonia,3,MKD
Serbia,3,SRB
Armenia,2,ARM
Luxembourg,2,LUX
Morocco,2,MAR
Peru,2,PER
Bosnia and Herzegovina,1,BIH
Egypt,1,EGY
India,1,IND
Kosovo,1,XKX
Slovakia,1,SVK
